csi_code,csi_code_description
00 52 27,SubcontractForm-ConstructionManagerasAgentorAdviser-Cost-Plus
00 52 33,AgreementForm-ConstructionManageratRisk-StipulatedSum
00 52 34,SubcontractForm-ConstructionManageratRisk-StipulatedSum
00 52 36,AgreementForm-ConstructionManageratRisk-Cost-Plus
00 52 37,SubcontractForm-ConstructionManageratRisk-Cost-Plus
00 52 51,Public-PrivatePartnershipAgreement
00 52 52,AgreementforPreliminaryServices-Owner-Design/Builder
00 52 53,AgreementForm-Owner-Design/Builder-StipulatedSum
00 52 54,SubcontractForm-Design/Build-StipulatedSum
00 52 56,AgreementForm-Owner-Design/Builder-Cost-Plus
00 52 57,SubcontractForm-Design/Build-Cost-Plus
00 52 63,AgreementForm-Purchase-StipulatedPrice
00 52 73,AgreementForm-PerformanceContract
00 52 93,Multi-PartyAgreementForm-IntegratedProjectDelivery
00 52 96,AgreementbetweenSingle-PurposeEntityandOwner-IntegratedProject
,Delivery
00 52 97,AgreementbetweenSingle-PurposeEntityandNon-Owner-Integrated
,ProjectDelivery
00 52 98,AgreementbetweenSingle-PurposeEntityandConsultant-Integrated
,ProjectDelivery
00 54 00,AgreementFormSupplements
00 54 13,SupplementaryScopeStatement
00 54 21,AllowancesSchedule
00 54 22,UnitPricesSchedule
00 54 33,Digital/ElectronicDataProtocolExhibit
00 54 36,BuildingInformationModelingExhibit
00 55 00,NoticetoProceed
00 60 00,ProjectForms
00 61 00,BondForms
00 61 13,PerformanceandPaymentBondForm
00 61 13,PerformanceBondForm
00 61 13,PaymentBondForm
00 61 16,LienBondForm
00 61 19,MaintenanceBondForm
00 61 23,RetainageBondForm
00 61 26,SpecialBondForm
00 62 00,CertificatesandOtherForms
00 62 11,SubmittalTransmittalForm
00 62 16,CertificateofInsuranceForm
00 62 19,InfectionControlForm
00 62 23,ConstructionWasteDiversionForm
00 62 33,ProductsForm
00 62 34,RecycledContentofMaterialsForm
00 62 39,MinorityBusinessEnterpriseCertificationForm
00 62 73,ScheduleofValuesForm
00 62 76,ApplicationforPaymentForm
00 62 76,SalesTaxForm
00 62 76,ConsentofSuretytoReductionofRetainageForm
00 62 79,StoredMaterialForm
00 62 83,ConstructionScheduleForm
00 62 86,WorkPlanScheduleForm
00 62 89,ConstructionEquipmentForm
00 63 00,ClarificationandModificationForms
00 63 13,RequestforInterpretationForm
00 63 19,ClarificationForm
00 63 25,SubstitutionRequestForm(DuringConstruction)
00 63 33,SupplementalInstructionForm
00 63 36,FieldOrderForm
00 63 43,WrittenAmendmentForm
00 63 46,ConstructionChangeDirectiveForm
00 63 49,WorkChangeDirectiveForm
00 63 53,RequestforProposalForm
00 63 54,ProposalWorksheetSummaryForm
00 63 55,ProposalWorksheetDetailForm
00 63 57,ChangeOrderRequestForm
00 63 63,ChangeOrderForm
00 65 00,CloseoutForms
00 65 13,CertificateofComplianceForm
00 65 16,CertificateofSubstantialCompletionForm
00 65 19,CertificateofCompletionForm
00 65 19,AffidavitofPaymentofDebtsandClaimsForm
00 65 19,AffidavitofReleaseofLiensForm
00 65 19,ConsentofSuretytoFinalPaymentForm
00 65 19,AcceptanceCertificateForm
00 65 19,FinalSettlementCertificateForm
00 65 36,WarrantyForm
00 65 73,StatutoryDeclarationForm
00 70 00,ConditionsoftheContract
00 71 00,ContractingDefinitions
00 72 00,GeneralConditions
00 72 13,GeneralConditions-StipulatedSum(Single-PrimeContract)
00 72 16,GeneralConditions-StipulatedSum(Multiple-PrimeContract)
00 72 23,GeneralConditions-ConstructionManagement(Single-PrimeContract)
00 72 26,GeneralConditions-ConstructionManagement(Multiple-PrimeContract)
00 72 33,GeneralConditions-CostPlus-Fee(Single-PrimeContract)
00 72 36,GeneralConditions-Cost-Plus-Fee(Multiple-PrimeContract)
00 72 43,GeneralConditions-UnitPrice(Single-PrimeContract)
00 72 46,GeneralConditions-UnitPrice(Multiple-PrimeContract)
00 72 53,GeneralConditions-Design/Build(Single-PrimeContract)
00 72 56,GeneralConditions-Design/Build(Multiple-PrimeContract)
00 72 73,GeneralConditions-PerformanceContract
00 72 95,GeneralConditions-IntegratedProjectDelivery
00 73 00,SupplementaryConditions
00 73 16,InsuranceRequirements
00 73 19,HealthandSafetyRequirements
00 73 23,PurchaseContracts
00 73 26,AssignedContracts
00 73 33,Non-SegregatedFacilitiesRequirements
00 73 36,EqualEmploymentOpportunityRequirements
00 73 39,MinorityBusinessEnterpriseRequirements
00 73 43,WageRateRequirements
00 73 46,WageDeterminationSchedule
00 73 49,LaborStabilizationAgreement
00 73 53,Anti-PollutionMeasures
00 73 63,SecurityRequirements
00 73 73,StatutoryRequirements
00 73 83,DisputeResolution
00 90 00,"Revisions,Clarifications,and"
00 91 00,Modifications PrecontractRevisions
00 91 13,Addenda
00 91 16,BidRevisions
00 91 19,ProposalRevisions
00 93 00,RecordClarificationsandProposals
00 93 13,RecordRequestsforInterpretation
00 93 19,RecordClarificationNotices
00 93 53,RecordProposalRequests
00 93 54,RecordProposalWorksheetSummaries
00 93 57,RecordChangeOrderRequests
00 94 00,RecordModifications
00 94 33,RecordMinorChangesintheWork
00 94 36,RecordSupplementalInstructions
00 94 39,RecordFieldOrders
00 94 43,RecordAmendments
00 94 46,RecordConstructionChangeDirectives
00 94 49,RecordWorkChangeDirectives
00 94 63,RecordChangeOrders
01 00 00,GeneralRequirements
03 65 35,Summary
03 65 36,SummaryofWork
04 12 85,WorkCoveredbyContractDocuments
04 23 80,WorkbyOwner
04 34 76,PurchaseContracts
03 65 37,MultipleContractSummary
04 12 86,SummaryofContracts
04 23 81,WorkSequence
04 34 77,ContractInterface
03 65 39,WorkRestrictions
04 12 88,AccesstoSite
04 23 83,CoordinationwithOccupants
04 34 79,UseofSite
04 85 93,WorkinRights-of-Way
03 65 43,ProjectUtilitySources
04 12 92,UtilityServiceConnections
03 65 45,PriceandPaymentProcedures
03 65 46,Allowances
04 12 95,CashAllowances
04 23 90,ContingencyAllowances
04 34 86,TestingandInspectingAllowances
04 49 47,InstallationAllowances
04 60 43,ProductAllowances
04 71 39,QuantityAllowances
05 22 52,TimeAllowances
03 65 47,UnitPrices
04 12 96,UnitPriceMeasurement
04 23 91,UnitPricePayment
03 65 48,Alternates
03 65 49,ValueAnalysis
04 12 98,ValueEngineering
03 65 50,SubstitutionProcedures
04 12 99,ProductSubstitutionProcedures
04 23 94,ExecutionSubstitutionProcedures
03 65 51,ContractModificationProcedures
04 13 00,RequestsforInterpretation
04 34 91,ClarificationNotices
04 86 05,MinorChangesintheWork
04 97 00,SupplementalInstructions
05 07 96,FieldOrders
05 22 57,Amendments
05 33 53,ConstructionChangeDirectives
05 44 49,WorkChangeDirectives
05 59 10,ProposalRequests
05 62 75,ProposalWorksheetSummaries
05 73 71,ChangeOrderRequests
05 95 62,ChangeOrders
03 65 54,PaymentProcedures
06 32 18,ScheduleofValues
06 43 13,ProgressPaymentProcedures
06 68 70,PaymentProceduresforTestingLaboratoryServices
03 65 55,AdministrativeRequirements
03 65 56,ProjectManagementandCoordination
04 13 05,ProjectCoordination
04 16 70,FacilityServicesCoordination
04 24 00,MultipleContractCoordination
04 34 96,ProjectMeetings
01 31 19,PreconstructionMeetings
01 31 19,SiteMobilizationMeetings
01 31 19,ProgressMeetings
01 31 19,PreinstallationMeetings
04 49 57,ProjectWebSite
04 60 53,ElectronicCommunicationProtocols
01 32 00,ConstructionProgressDocumentation
01 32 13,SchedulingofWork
01 32 16,ConstructionProgressSchedule
01 32 16,NetworkAnalysisSchedules
01 32 19,SubmittalsSchedule
01 32 23,SurveyandLayoutData
01 32 26,ConstructionProgressReporting
01 32 29,PeriodicWorkObservation
01 32 33,PhotographicDocumentation
01 32 36,VideoMonitoringandDocumentation
01 32 43,PurchaseOrderTracking
01 33 00,SubmittalProcedures
01 33 13,Certificates
01 33 16,DesignData
01 33 19,FieldTestReporting
01 33 23,"ShopDrawings,ProductData,andSamples"
01 33 26,SourceQualityControlReporting
01 33 29,SustainableDesignReporting
01 33 29,MaterialCostSummaryForm
01 33 29,Wood-ContainingProductList
01 33 29,Metal-ContainingProductList
01 33 29,MaterialContentForm
01 33 29,NewProductSourceForm
01 33 29,ReusedProductForm
01 33 29,ProhibitedContentInstallerCertification
01 35 00,SpecialProcedures
01 35 03,ConservationTreatmentProcedures
01 35 13,SpecialProjectProcedures
01 35 13,SpecialProjectProceduresforAirportFacilities
01 35 13,SpecialProjectProceduresforDetentionFacilities
01 35 13,SpecialProjectProceduresforHealthcareFacilities
01 35 13,SpecialProjectProceduresforCleanRooms
01 35 13,SpecialProjectProceduresforContaminatedSites
01 35 16,AlterationProjectProcedures
01 35 23,OwnerSafetyRequirements
01 35 26,GovernmentalSafetyRequirements
01 35 29,"Health,Safety,andEmergencyResponseProcedures"
01 35 29,"Health,Safety,andEmergencyResponseProceduresforContaminatedSites"
01 35 33,InfectionControlProcedures
01 35 43,EnvironmentalProcedures
01 35 43,EnvironmentalProceduresforHazardousMaterials
01 35 43,EnvironmentalProceduresforToxicMaterials
01 35 46,IndoorAirQualityProcedures
01 35 53,SecurityProcedures
01 35 63,SustainabilityCertificationProjectRequirements
01 35 66,SustainabilityCertificationProjectProcedures
01 35 73,DelegatedDesignProcedures
01 35 91,PeriodTreatmentProcedures
01 40 00,QualityRequirements
01 41 00,RegulatoryRequirements
01 41 13,Codes
01 41 16,Laws
01 41 19,Rules
01 41 23,Fees
01 41 26,PermitRequirements
01 42 00,References
01 42 13,AbbreviationsandAcronyms
01 42 16,Definitions
01 42 19,ReferenceStandards
01 43 00,QualityAssurance
01 43 13,ManufacturerQualifications
01 43 16,SupplierQualifications
01 43 19,FabricatorQualifications
01 43 23,InstallerQualifications
01 43 26,TestingandInspectingAgencyQualifications
01 43 29,Code-RequiredSpecialInspectorQualifications
01 43 33,Manufacturer'sFieldServices
01 43 36,FieldSamples
01 43 39,Mockups
01 45 00,QualityControl
01 45 13,SourceQualityControlProcedures
01 45 16,FieldQualityControlProcedures
01 45 16,ContractorQualityControl
01 45 23,TestingandInspectingServices
01 45 26,PlantInspectionProcedures
01 45 29,TestingLaboratoryServices
01 45 33,Code-RequiredSpecialInspectionsandProcedures
01 50 00,TemporaryFacilitiesandControls
01 51 00,TemporaryUtilities
01 51 13,TemporaryElectricity
01 51 16,TemporaryFireProtection
01 51 19,TemporaryFuelOil
01 51 23,"TemporaryHeating,Cooling,andVentilating"
01 51 26,TemporaryLighting
01 51 29,TemporaryNatural-Gas
01 51 33,TemporaryTelecommunications
01 51 36,TemporaryWater
01 52 00,ConstructionFacilities
01 52 13,FieldOfficesandSheds
01 52 16,FirstAidFacilities
01 52 19,SanitaryFacilities
01 53 00,TemporaryConstruction
01 53 13,TemporaryBridges
01 53 16,TemporaryDecking
01 53 19,TemporaryOverpasses
01 53 23,TemporaryRamps
01 53 26,TemporaryRunarounds
01 54 00,ConstructionAids
01 54 13,TemporaryElevators
01 54 16,TemporaryHoists
01 54 19,TemporaryCranes
01 54 23,TemporaryScaffoldingandPlatforms
01 54 26,TemporarySwingStaging
01 55 00,VehicularAccessandParking
01 55 13,TemporaryAccessRoads
01 55 16,HaulRoutes
01 55 19,TemporaryParkingAreas
01 55 23,TemporaryRoads
01 55 26,TrafficControl
01 55 29,StagingAreas
01 56 00,TemporaryBarriersandEnclosures
01 56 13,TemporaryAirBarriers
01 56 16,TemporaryDustBarriers
01 56 19,TemporaryNoiseBarriers
01 56 23,TemporaryBarricades
01 56 26,TemporaryFencing
01 56 29,TemporaryProtectiveWalkways
01 56 33,TemporarySecurityBarriers
01 56 36,TemporarySecurityEnclosures
01 56 39,TemporaryTreeandPlantProtection
01 57 00,TemporaryControls
01 57 13,TemporaryErosionandSedimentControl
01 57 16,TemporaryPestControl
01 57 19,TemporaryEnvironmentalControls
01 57 23,TemporaryStormWaterPollutionControl
01 57 26,SiteWateringforDustControl
01 58 00,ProjectIdentification
01 58 13,TemporaryProjectSignage
01 58 16,TemporaryInteriorSignage
01 60 00,ProductRequirements
01 61 00,CommonProductRequirements
01 61 13,SoftwareLicensingRequirements
01 62 00,ProductOptions
01 64 00,Owner-FurnishedProducts
01 65 00,ProductDeliveryRequirements
01 66 00,ProductStorageandHandlingRequirements
01 66 13,ProductStorageandHandlingRequirementsforHazardousMaterials
01 66 16,ProductStorageandHandlingRequirementsforToxicMaterials
01 70 00,ExecutionandCloseoutRequirements
01 71 00,ExaminationandPreparation
01 71 13,Mobilization
01 71 16,AcceptanceofConditions
01 71 23,FieldEngineering
01 71 23,ConstructionLayout
01 71 23,ConstructionSurveying
01 71 33,ProtectionofAdjacentConstruction
01 71 36,Non-DestructiveConcreteExamination
01 73 00,Execution
01 73 13,Application
01 73 16,Erection
01 73 19,Installation
01 73 23,BracingandAnchoring
01 73 26,ExistingProducts
01 73 29,CuttingandPatching
01 74 00,CleaningandWasteManagement
01 74 13,ProgressCleaning
01 74 16,SiteMaintenance
01 74 19,ConstructionWasteManagementandDisposal
01 74 23,FinalCleaning
01 75 00,StartingandAdjusting
01 75 13,CheckoutProcedures
01 75 16,StartupProcedures
01 76 00,ProtectingInstalledConstruction
01 77 00,CloseoutProcedures
01 77 13,PreliminaryCloseoutReviews
01 77 16,FinalCloseoutReview
01 77 19,CloseoutRequirements
01 78 00,CloseoutSubmittals
01 78 13,CompletionandCorrectionList
01 78 19,MaintenanceContracts
01 78 23,OperationandMaintenanceData
01 78 23,OperationData
01 78 23,MaintenanceData
01 78 23,PreventativeMaintenanceInstructions
01 78 29,FinalSiteSurvey
01 78 33,Bonds
01 78 36,Warranties
01 78 39,ProjectRecordDocuments
01 78 43,SpareParts
01 78 46,ExtraStockMaterials
01 78 53,SustainableDesignCloseoutDocumentation
01 79 00,DemonstrationandTraining
01 80 00,PerformanceRequirements
01 81 00,FacilityPerformanceRequirements
01 81 13,SustainableDesignRequirements
01 81 16,FacilityEnvironmentalRequirements
01 81 19,IndoorAirQualityRequirements
01 82 00,FacilitySubstructurePerformanceRequirements
01 82 13,FoundationPerformanceRequirements
01 82 16,BasementConstructionPerformanceRequirements
01 83 00,FacilityShellPerformanceRequirements
01 83 13,SuperstructurePerformanceRequirements
01 83 16,ExteriorEnclosurePerformanceRequirements
01 83 19,RoofingPerformanceRequirements
01 84 00,InteriorsPerformanceRequirements
01 84 13,InteriorConstructionPerformanceRequirements
01 84 16,StairwaysPerformanceRequirements
01 84 19,InteriorFinishesPerformanceRequirements
01 85 00,ConveyingEquipmentPerformanceRequirements
01 86 00,FacilityServicesPerformanceRequirements
01 86 13,FireSuppressionPerformanceRequirements
01 86 16,PlumbingPerformanceRequirements
01 86 19,HVACPerformanceRequirements
01 86 23,IntegratedAutomationPerformanceRequirements
01 86 26,ElectricalPerformanceRequirements
01 86 29,CommunicationsPerformanceRequirements
01 86 33,ElectronicSafetyandSecurityPerformanceRequirements
01 87 00,EquipmentandFurnishingsPerformance
,Requirements
01 87 13,EquipmentPerformanceRequirements
01 87 16,FurnishingsPerformanceRequirements
01 88 00,OtherFacilityConstructionPerformance
,Requirements
01 88 13,SpecialConstructionPerformanceRequirements
01 88 16,SelectiveConstructionPerformanceRequirements
01 89 00,SiteConstructionPerformanceRequirements
01 89 13,SitePreparationPerformanceRequirements
01 89 16,SiteImprovementsPerformanceRequirements
01 89 19,SitePlumbingUtilitiesPerformanceRequirements
01 89 23,SiteHVACUtilitiesPerformanceRequirements
01 89 26,SiteElectricalUtilitiesPerformanceRequirements
01 89 29,OtherSiteConstructionPerformanceRequirements
01 90 00,LifeCycleActivities
01 91 00,Commissioning
01 91 13,GeneralCommissioningRequirements
01 91 16,FacilitySubstructureCommissioning
01 91 16,FoundationCommissioning
01 91 17,BasementConstructionCommissioning
01 91 19,FacilityShellCommissioning
01 91 19,SuperstructureCommissioning
01 91 19,ExteriorEnclosureCommissioning
01 91 20,RoofingCommissioning
01 91 23,InteriorsCommissioning
01 91 23,InteriorConstructionCommissioning
01 91 23,StairwaysCommissioning
01 91 24,InteriorFinishesCommissioning
01 92 00,FacilityOperation
01 92 13,FacilityOperationProcedures
01 93 00,FacilityMaintenance
01 93 13,FacilityMaintenanceProcedures
01 93 16,RecyclingPrograms
01 94 00,FacilityDecommissioning
01 94 13,FacilityDecommissioningProcedures
02 00 00,ExistingConditions
03 65 57,MaintenanceofExistingConditions
05 48 20,MaintenanceofSiteRemediation
06 02 99,MaintenanceofUndergroundStorageTankRemoval
06 57 77,MaintenanceofFacilityRemediation
06 79 69,MaintenanceofHazardousWasteDrumHandling
03 65 59,ConservationTreatmentforExistingPeriod
03 69 25,Conditions MaintenanceofExistingPeriodConditions
02 03 01,MothballingPeriodStructures
05 15 35,SelectiveDemolitionforPeriodStructures
05 19 00,RemovalandSalvageofPeriodConstructionMaterials
05 22 65,PeriodStructureRelocating
05 26 30,ShoringandSupportofPeriodStructures
03 65 61,CommonWorkResultsforExistingConditions
04 35 01,GeosyntheticsforExistingConditions
02 05 19,GeotextilesforExistingConditions
02 05 19,GeomembranesforExistingConditions
02 05 19,GeogridsforExistingConditions
03 65 62,SchedulesforExistingConditions
04 13 11,GeotechnicalBaselineReport
04 16 76,GeotechnicalDataReport
04 75 20,SchedulesforSubsurfaceInvestigations
02 06 30,BoringorTestPitLogSchedule
05 48 25,SchedulesforSiteRemediation
06 03 04,SchedulesforUndergroundStorageTankRemoval
06 57 82,SchedulesforFacilityRemediation
06 79 74,SchedulesforHazardousWasteDrumHandling
03 65 64,CommissioningofExistingConditions
03 65 76,Assessment
03 65 77,Surveys
04 13 26,SiteSurveys
02 21 13,BoundaryandSurveyMarkers
02 21 13,ArcheologicalandHistoricSurveys
04 24 21,MeasuredDrawings
03 65 78,ExistingConditionsAssessment
04 13 27,MovementandVibrationAssessment
04 24 22,AcousticAssessment
04 35 18,TrafficAssessment
04 49 79,AccessibilityAssessment
03 65 80,EnvironmentalAssessment
04 13 29,NaturalEnvironmentAssessment
02 24 13,AirAssessment
02 24 13,WaterAssessment
02 24 14,LandAssessment
04 49 81,ChemicalSamplingandAnalysisofSoils
05 22 86,TransboundaryandGlobalEnvironmentalAspectsAssessment
03 65 81,ExistingMaterialAssessment
04 24 25,ExistingConcreteAssessment
02 25 16,ConcreteAssessmentDrilling
04 35 21,ExistingMasonryAssessment
02 25 19,MasonryAssessmentDrilling
04 49 82,ExistingMetalsAssessment
02 25 23,WeldingInvestigations
04 60 78,"ExistingWood,Plastics,andCompositesAssessment"
04 71 74,ExistingThermalandMoistureProtectionAssessment
02 25 29,WaterproofingInvestigations
02 25 29,RoofingInvestigations
03 65 82,HazardousMaterialAssessment
04 49 83,AsbestosAssessment
04 60 79,LeadAssessment
04 71 75,PolychlorinatedBiphenylAssessment
04 86 36,BiologicalAssessment
02 26 33,MoldAssessment
04 97 31,HazardousWasteDrumAssessment
02 30 00,SubsurfaceInvestigation
02 31 00,GeophysicalInvestigations
02 31 13,SeismicInvestigations
02 31 16,GravityInvestigations
02 31 19,MagneticInvestigations
02 31 23,ElectromagneticInvestigations
02 31 26,ElectricalResistivityInvestigations
02 31 29,MagnetotelluricInvestigations
02 32 00,GeotechnicalInvestigations
02 32 13,SubsurfaceDrillingandSampling
02 32 16,MaterialTesting
02 32 19,ExploratoryExcavations
02 32 23,GeotechnicalMonitoringBeforeConstruction
02 32 23,GroundwaterMonitoringBeforeConstruction
02 40 00,DemolitionandStructureMoving
02 41 00,Demolition
02 41 13,SelectiveSiteDemolition
02 41 13,PavingRemoval
02 41 13,UtilityLineRemoval
02 41 13,RailtrackRemoval
02 41 16,StructureDemolition
02 41 16,BuildingDemolition
02 41 16,TowerDemolition
02 41 16,BridgeDemolition
02 41 16,DamDemolition
02 41 19,SelectiveDemolition
02 41 19,SelectiveBuildingDemolition
02 41 19,SelectiveInteriorDemolition
02 41 19,SelectiveFacilityServicesDemolition
02 41 19,SelectiveBridgeDemolition
02 42 00,RemovalandSalvageofConstructionMaterials
02 42 13,DeconstructionofStructures
02 42 13,DeconstructionofBuildings
02 43 00,StructureMoving
02 43 13,StructureRelocation
02 43 13,BuildingRelocation
02 43 16,StructureRaising
02 43 16,BuildingRaising
02 50 00,SiteRemediation
02 51 00,PhysicalDecontamination
02 51 13,CoagulationandFlocculationDecontamination
02 51 16,Reverse-OsmosisDecontamination
02 51 19,SolidificationandStabilizationDecontamination
02 51 23,MechanicalFiltrationDecontamination
02 51 26,RadioactiveDecontamination
02 51 29,SurfaceCleaningDecontamination
02 51 29,High-PressureWaterCleaningDecontamination
02 51 29,VacuumSweepingCleaningDecontamination
02 51 33,SurfaceRemovalDecontamination
02 51 33,SurfaceRemovalDecontaminationbyGrinding
02 51 33,SurfaceRemovalDecontaminationbySandBlasting
02 51 33,SurfaceRemovalDecontaminationbyUltrasound
02 52 00,ChemicalDecontamination
02 52 13,ChemicalPrecipitationDecontamination
02 52 16,IonChangeDecontamination
02 52 19,NeutralizationDecontamination
02 53 00,ThermalDecontamination
02 53 13,IncinerationDecontamination
02 53 13,RemediationofContaminatedSoilsandSludgesbyIncineration
02 53 16,ThermalDesorptionDecontamination
02 53 16,RemediationofContaminatedSoilsbyThermalDesorption
02 53 19,VitrificationDecontamination
02 54 00,BiologicalDecontamination
02 54 13,AerobicProcessesDecontamination
02 54 16,AnaerobicProcessesDecontamination
02 54 19,BioremediationDecontamination
02 54 19,BioremediationUsingLandfarming
02 54 19,BioremediationofSoilsUsingWindrowComposting
02 54 19,BioremediationUsingBacteriaInjection
